Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source,symbol
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,,
VNM,2013,4,0.03,0.30,0.51,0.84,1.45,3.65,18.66,61.90,38.93,119.49,5.90,0.19,0.33,0.18,0.40,0.00,0.31,8796793806917.00,1553871666234,0.02,2.63,1.42,1.98,0.00,1.30,117515083851000.00,833440311.00,17.99,6.70,3.80,18.80,1763.83,21051.88,13.09,VNM,2026-02-10,VCI,VNM
VNM,2013,3,0.00,0.22,0.50,0.81,1.45,3.62,17.35,69.84,38.44,125.63,5.23,0.24,0.37,0.21,0.41,18.46,0.33,8636293729660.00,1907747567937,0.02,3.14,1.54,2.26,0.00,1.22,115018454418000.00,833467061.00,17.14,6.81,3.86,55.15,2028.24,20262.30,13.12,VNM,2026-02-10,VCI,VNM
VNM,2013,2,0.00,0.24,0.49,0.81,1.45,3.54,16.56,74.44,38.86,129.85,4.90,0.26,0.39,0.23,0.40,18.73,0.33,8162433409122.00,2084036298819,0.01,3.01,1.41,2.04,0.00,1.24,116686603740000.00,833475741.00,18.18,6.86,4.11,74.44,2210.95,20422.51,14.20,VNM,2026-02-10,VCI,VNM
VNM,2013,1,0.00,0.22,0.48,0.81,1.45,3.55,17.49,78.21,41.59,137.30,4.67,0.26,0.37,0.23,0.40,18.33,0.32,7747938308995.00,1749465778926,0.00,3.25,1.56,2.22,0.00,1.22,114193017612000.00,833525676.00,18.78,6.77,4.17,167.51,1836.58,20230.57,14.53,VNM,2026-02-10,VCI,VNM
FPT,2025,4,0.53,1.01,0.40,2.57,0.88,4.36,60.57,17.50,34.10,112.17,20.85,0.15,0.35,0.12,0.28,0.17,0.12,13883301950079.00,3116578707611,0.01,1.40,0.25,1.35,-15.05,2.01,168647204979000.00,1703507121.00,17.96,4.62,2.41,16.52,1469.15,21416.77,13.36,FPT,2026-02-10,VCI,FPT
FPT,2025,3,0.52,0.93,0.40,2.51,0.87,4.21,59.52,18.39,29.58,107.49,19.85,0.17,0.38,0.14,0.27,0.17,0.12,13663353950005.00,2955006913528,0.01,1.48,0.27,1.42,-12.65,1.93,170010010675800.00,1703507121.00,18.90,4.75,2.52,14.83,1429.31,21008.50,13.67,FPT,2026-02-10,VCI,FPT
FPT,2025,2,0.65,1.04,0.42,2.34,0.90,4.30,59.78,18.94,30.49,109.22,19.27,0.14,0.36,0.14,0.28,0.17,0.12,13405570483865.00,2317066834508,0.00,1.40,0.27,1.34,-10.69,2.04,157404057980400.00,1703507121.00,18.14,4.73,2.38,15.15,1325.19,19548.20,13.20,FPT,2026-02-10,VCI,FPT
FPT,2025,1,0.54,0.95,0.41,2.22,0.93,4.40,59.84,19.11,31.63,110.58,19.10,0.16,0.39,0.14,0.28,0.19,0.12,13347374679962.00,2595124918148,0.00,1.36,0.20,1.30,-17.03,1.95,188277058506200.00,1481330122.00,22.65,5.85,2.90,18.93,1467.80,21719.61,15.48,FPT,2026-02-10,VCI,FPT
FPT,2024,4,0.43,1.02,0.41,2.10,0.95,4.42,56.90,17.32,32.76,106.97,21.08,0.17,0.36,0.12,0.29,0.21,0.12,13043646259024.00,3052680751061,0.01,1.31,0.27,1.25,-22.64,2.02,170644025228000.00,1471069183.00,21.60,5.73,2.72,14.50,1423.95,20251.58,14.03,FPT,2026-02-10,VCI,FPT
FPT,2024,3,0.43,0.91,0.41,2.08,0.94,4.28,60.21,19.58,29.84,109.64,18.64,0.18,0.39,0.13,0.27,0.20,0.12,12360099630987.00,2787134855818,0.01,1.38,0.26,1.31,-21.63,1.91,213452138453300.00,1471069183.00,28.35,7.16,3.56,20.65,1419.96,20254.83,18.27,FPT,2026-02-10,VCI,FPT
FPT,2024,2,0.52,0.99,0.43,1.92,0.93,4.21,59.49,19.63,29.77,108.90,18.59,0.15,0.37,0.12,0.28,0.19,0.11,11774915228161.00,2350486898150,0.00,1.30,0.22,1.24,-15.66,1.99,200957653881600.00,1460448066.00,28.14,7.31,3.48,18.69,1283.96,18818.60,18.33,FPT,2026-02-10,VCI,FPT
FPT,2024,1,0.54,0.95,0.44,1.86,0.90,4.16,58.71,21.08,29.79,109.57,17.32,0.16,0.39,0.13,0.27,0.18,0.11,11256374502773.00,2318045278330,0.00,1.30,0.22,1.23,-16.82,1.95,195407951230800.00,1460448066.00,28.83,7.28,3.55,18.98,1231.15,18372.18,18.70,FPT,2026-02-10,VCI,FPT
FPT,2023,4,0.48,1.01,0.46,1.76,0.94,4.10,59.13,21.73,32.84,113.70,16.80,0.16,0.38,0.12,0.28,0.19,0.12,10738142058051.00,2335762903222,0.01,1.24,0.28,1.18,-11.30,2.01,146681405062500.00,1269968875.00,22.64,5.87,2.79,15.38,1360.98,19663.01,15.22,FPT,2026-02-10,VCI,FPT
FPT,2023,3,0.68,1.19,0.47,1.67,0.91,4.12,58.83,24.80,32.55,116.18,14.72,0.17,0.40,0.13,0.27,0.17,0.11,10190190787133.00,2288690162217,0.01,1.20,0.22,1.14,-8.62,2.19,120266052462500.00,1269968875.00,19.67,5.09,2.36,15.89,1369.59,18607.81,13.44,FPT,2026-02-10,VCI,FPT
FPT,2023,2,0.69,1.12,0.43,1.68,0.89,4.06,58.56,27.27,34.55,120.38,13.38,0.15,0.37,0.12,0.27,0.16,0.11,9565749710738.00,1919969014996,0.01,1.24,0.20,1.17,-9.04,2.12,122424999550000.00,1269968875.00,20.98,5.07,2.53,18.30,1188.39,19014.57,14.65,FPT,2026-02-10,VCI,FPT
FPT,2023,1,0.47,0.88,0.44,1.59,0.86,3.99,58.46,29.25,36.01,123.72,12.48,0.16,0.39,0.13,0.27,0.18,0.10,9132115477728.00,1873515001905,0.00,1.28,0.14,1.19,-12.66,1.88,95629596784500.00,1269981365.00,17.14,4.22,2.08,17.53,1176.05,17842.09,11.95,FPT,2026-02-10,VCI,FPT
FPT,2022,4,0.55,1.04,0.47,1.49,0.84,3.92,58.89,25.46,41.30,125.66,14.34,0.15,0.40,0.10,0.23,0.18,0.10,8627621794997.00,1998115841063,0.01,1.26,0.26,1.18,-12.76,2.04,87323315131200.00,1097026572.00,16.41,4.15,1.98,17.24,1232.06,19185.01,12.30,FPT,2026-02-10,VCI,FPT
FPT,2022,3,0.85,1.29,0.47,1.41,0.76,3.88,57.69,29.34,38.21,125.24,12.44,0.16,0.39,0.13,0.23,0.15,0.10,8015842349776.00,1766664487168,0.01,1.23,0.13,1.15,-10.61,2.29,87762125760000.00,1097026572.00,16.67,4.41,2.11,14.70,1325.14,18135.65,13.29,FPT,2026-02-10,VCI,FPT
FPT,2022,2,1.03,1.40,0.45,1.37,0.73,3.92,58.31,30.10,37.69,126.09,12.13,0.16,0.38,0.12,0.22,0.13,0.09,7582533147723.00,1580705075815,0.01,1.22,0.17,1.15,-8.94,2.40,80082939756000.00,1097026572.00,16.20,4.09,2.04,16.88,1140.19,17829.49,13.26,FPT,2026-02-10,VCI,FPT
FPT,2022,1,1.09,1.42,0.46,1.35,0.74,4.01,58.31,30.17,41.01,129.49,12.10,0.15,0.41,0.13,0.22,0.13,0.09,7435707396381.00,1415656560415,0.00,1.22,0.16,1.15,-9.71,2.42,90504692190000.00,1097026572.00,19.30,4.70,2.39,18.81,1129.31,17547.63,15.08,FPT,2026-02-10,VCI,FPT
FPT,2021,4,1.05,1.51,0.49,1.26,0.75,3.81,60.27,25.09,47.15,132.52,14.55,0.14,0.38,0.12,0.22,0.13,0.09,7058943201555.00,1461554245850,0.01,1.18,0.18,1.13,-10.59,2.51,104368439635000.00,907551649.00,24.03,5.82,2.93,17.85,1434.10,19768.51,17.00,FPT,2026-02-10,VCI,FPT
FPT,2021,3,0.96,1.37,0.42,1.19,0.74,4.02,60.32,32.03,45.16,137.51,11.40,0.16,0.37,0.13,0.20,0.14,0.09,6782810176201.00,1375789781096,0.01,1.18,0.21,1.11,-11.45,2.37,79955300276900.00,907551649.00,19.86,4.71,2.38,15.01,1239.42,18713.57,14.10,FPT,2026-02-10,VCI,FPT
FPT,2021,2,0.95,1.34,0.41,1.18,0.76,4.03,60.58,30.27,47.61,138.46,12.06,0.17,0.40,0.12,0.20,0.14,0.09,6558900120558.00,1495106107041,0.01,1.19,0.20,1.11,-12.01,2.34,90202445736200.00,907469273.00,23.52,5.37,2.78,15.85,1102.00,18498.56,16.11,FPT,2026-02-10,VCI,FPT
FPT,2021,1,0.92,1.25,0.42,1.16,0.77,3.93,62.29,28.87,45.80,136.96,12.64,0.14,0.38,0.12,0.20,0.13,0.09,6148557111296.00,1080648442446,0.00,1.21,0.22,1.14,-10.83,2.25,78133104405300.00,907469273.00,21.05,4.68,2.54,13.00,998.54,18391.79,15.05,FPT,2026-02-10,VCI,FPT
FPT,2020,4,0.72,1.24,0.45,1.09,0.79,3.77,69.61,27.91,55.37,152.88,13.08,0.15,0.40,0.11,0.20,0.15,0.09,6095337155480.00,1257216994600,0.01,1.15,0.21,1.09,-12.76,2.24,65496534874000.00,789114878.00,18.39,4.15,2.20,10.26,1245.50,20019.48,12.36,FPT,2026-02-10,VCI,FPT
FPT,2020,3,0.65,1.08,0.40,1.07,0.83,3.98,66.58,27.51,45.20,139.29,13.27,0.16,0.40,0.12,0.19,0.15,0.09,5828684472903.00,1192335661697,0.01,1.21,0.23,1.14,-13.90,2.08,52521642370000.00,783905110.00,15.83,3.49,1.79,8.49,1184.95,19215.08,10.70,FPT,2026-02-10,VCI,FPT
FPT,2020,2,0.62,1.01,0.41,1.05,0.85,3.93,69.01,28.47,45.51,143.00,12.82,0.16,0.39,0.13,0.19,0.15,0.10,5803294105067.00,1102583854426,0.02,1.23,0.25,1.16,-10.88,2.01,41390189808000.00,783905110.00,12.34,2.77,1.44,7.90,1120.94,19083.02,8.82,FPT,2026-02-10,VCI,FPT
FPT,2020,1,0.61,0.95,0.42,1.03,0.88,3.97,70.63,29.55,45.92,146.10,12.35,0.16,0.40,0.11,0.20,0.16,0.10,5745180368768.00,1050118527016,0.00,1.24,0.25,1.16,-10.54,1.95,34922972650500.00,783905110.00,10.68,2.37,1.22,8.59,953.06,18803.61,7.63,FPT,2026-02-10,VCI,FPT
FPT,2019,4,0.49,0.99,0.44,0.99,0.88,3.96,74.89,29.53,55.29,159.71,12.36,0.13,0.38,0.09,0.20,0.17,0.10,5501450664844.00,1034714399471,0.02,1.18,0.21,1.10,-8.57,1.99,34560572771400.00,681668102.00,10.97,2.47,1.25,8.82,1110.85,20485.34,7.75,FPT,2026-02-10,VCI,FPT
FPT,2019,3,0.56,0.99,0.44,0.95,0.88,3.89,73.83,33.50,46.90,154.23,10.89,0.17,0.39,0.14,0.20,0.16,0.10,5223017664979.00,1192617437145,0.02,1.20,0.21,1.10,-11.87,1.99,38322611628000.00,678276312.00,12.08,2.82,1.44,12.00,1415.51,20021.08,8.89,FPT,2026-02-10,VCI,FPT
FPT,2019,2,0.50,0.92,0.44,0.93,0.87,3.96,75.45,35.07,47.84,158.37,10.41,0.16,0.38,0.12,0.19,0.16,0.10,4881708506520.00,1080393236621,0.02,1.26,0.22,1.16,-14.92,1.92,39204370833600.00,678276312.00,13.34,2.94,1.54,12.36,1167.23,19627.78,9.46,FPT,2026-02-10,VCI,FPT
FPT,2019,1,0.47,0.85,0.43,0.91,0.86,3.98,75.25,35.05,47.33,157.63,10.41,0.14,0.40,0.11,0.19,0.15,0.10,4473307925781.00,810155486857,0.00,1.33,0.21,1.22,-11.14,1.85,32421607713600.00,678276312.00,11.83,2.48,1.34,9.59,923.38,19297.37,8.75,FPT,2026-02-10,VCI,FPT
FPT,2018,4,0.50,1.01,0.44,0.87,0.85,3.95,84.60,30.55,60.32,175.47,11.95,0.12,0.37,0.11,0.19,0.14,0.10,4286449299991.00,848018283943,0.02,1.27,0.27,1.18,-11.34,2.01,30553600081800.00,616621596.00,11.60,2.44,1.32,8.47,1275.43,20277.90,8.37,FPT,2026-02-10,VCI,FPT
FPT,2018,3,0.52,0.98,0.40,0.83,1.10,5.36,59.47,23.18,34.32,116.97,15.74,0.15,0.38,0.12,0.24,0.15,0.12,4313081825014.00,887207848753,0.02,1.31,0.30,1.19,-14.30,1.98,26505549907200.00,613554396.00,8.14,2.23,0.92,9.20,1181.51,19350.32,7.38,FPT,2026-02-10,VCI,FPT
FPT,2018,2,0.00,0.00,0.39,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.37,0.11,0.00,0.00,0.00,0.00,718947306103,0.02,0.00,0.00,0.00,-13.05,1.89,25155730236000.00,613554396.00,8.07,2.14,0.75,8.90,968.59,19169.74,6.54,FPT,2026-02-10,VCI,FPT
FPT,2018,1,0.43,0.80,0.37,0.82,1.41,7.56,49.39,34.82,32.64,116.84,10.48,0.14,0.39,0.11,0.23,0.16,0.11,4242880876661.00,662426439907,0.00,1.51,0.29,1.40,-14.27,1.80,26566905346800.00,613554396.00,8.76,1.92,0.70,9.55,829.61,22498.21,6.83,FPT,2026-02-10,VCI,FPT
FPT,2017,4,0.40,0.89,0.40,0.78,1.56,8.67,43.88,31.22,33.41,108.50,11.69,0.07,0.23,0.11,0.24,0.18,0.11,4206055335364.00,877651420842,0.02,1.45,0.31,1.35,-12.46,1.89,30411397245000.00,533533285.00,10.32,2.65,0.71,15.22,2660.84,21525.10,8.03,FPT,2026-02-10,VCI,FPT
FPT,2017,3,0.71,1.28,0.38,0.77,1.47,9.11,45.02,50.39,34.67,130.08,7.24,0.08,0.22,0.05,0.18,0.15,0.07,4300245202571.00,835256675182,0.02,1.38,0.33,1.10,-9.81,2.28,33976238656000.00,530878729.00,15.64,3.20,0.80,16.47,1097.50,20021.30,8.68,FPT,2026-02-10,VCI,FPT
FPT,2017,2,0.81,1.31,0.39,0.71,1.48,9.09,44.04,52.13,35.17,131.34,7.00,0.08,0.24,0.05,0.18,0.16,0.07,4263480131270.00,794885826968,0.02,1.37,0.31,1.09,-7.94,2.31,26650112195800.00,530878729.00,12.94,2.66,0.64,9.87,963.85,18845.19,7.25,FPT,2026-02-10,VCI,FPT
FPT,2017,1,0.91,1.34,0.37,0.70,1.48,9.00,43.59,54.51,34.41,132.51,6.70,0.07,0.22,0.04,0.18,0.15,0.08,4157293690482.00,654062436569,0.00,1.37,0.27,1.04,-5.79,2.34,25774162292950.00,530878729.00,12.49,2.24,0.64,9.31,777.77,21659.44,7.61,FPT,2026-02-10,VCI,FPT
FPT,2016,4,0.93,1.61,0.40,0.67,1.41,8.90,45.13,58.40,38.58,142.10,6.25,0.08,0.22,0.05,0.18,0.00,0.07,3981961763710.00,1015666362329,0.02,1.26,0.35,1.00,-9.91,2.61,21443209493100.00,461640678.00,10.72,2.24,0.54,4.95,1432.15,20732.63,6.37,FPT,2026-02-10,VCI,FPT
FPT,2016,3,0.85,1.41,0.41,0.64,1.47,8.52,43.87,61.12,34.05,139.05,5.97,0.08,0.23,0.05,0.19,0.00,0.08,3822588657564.00,793250718856,0.02,1.32,0.33,1.01,-7.61,2.41,20532690567600.00,459344308.00,10.29,2.27,0.55,5.90,1018.43,19717.26,6.38,FPT,2026-02-10,VCI,FPT
FPT,2016,2,0.00,0.00,0.41,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.22,0.06,0.00,0.00,0.00,0.00,729231748851,0.02,0.00,0.00,0.00,-6.80,2.32,20027411828800.00,459344308.00,10.44,2.21,0.54,8.35,1123.35,19742.15,6.83,FPT,2026-02-10,VCI,FPT
FPT,2016,1,0.84,1.32,0.41,0.62,1.56,8.45,40.82,60.99,34.44,136.25,5.98,0.06,0.20,0.04,0.18,0.00,0.08,3574675631853.00,510373256560,0.00,1.35,0.26,0.96,-8.00,2.32,18833116628000.00,459344308.00,10.13,1.82,0.47,10.71,752.57,22475.89,6.15,FPT,2026-02-10,VCI,FPT
FPT,2015,4,0.00,0.00,0.43,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.21,0.06,0.00,0.00,0.00,0.00,842868586323,0.02,0.00,0.00,0.00,-8.02,2.55,19412594119800.00,399436093.00,10.01,2.25,0.51,16.71,1658.23,21585.65,6.40,FPT,2026-02-10,VCI,FPT
FPT,2015,3,0.00,0.00,0.48,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.04,0.00,0.00,0.00,0.00,697570991677,0.02,0.00,0.00,0.00,-12.72,2.37,18640370481600.00,397449264.00,10.81,2.21,0.36,13.52,978.90,21217.62,6.69,FPT,2026-02-10,VCI,FPT
FPT,2015,2,0.00,0.00,0.44,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.19,0.05,0.00,0.00,0.00,0.00,747207263848,0.02,0.00,0.00,0.00,-11.38,2.28,20468637096000.00,397449264.00,11.85,2.41,0.37,17.92,1148.91,21346.30,7.58,FPT,2026-02-10,VCI,FPT
FPT,2015,1,0.00,0.00,0.48,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.20,0.05,0.00,0.00,0.00,0.00,660337502954,0.00,0.00,0.00,0.00,-16.17,2.65,18799350187200.00,397449264.00,11.08,1.94,0.35,17.05,1068.47,24364.62,7.31,FPT,2026-02-10,VCI,FPT
FPT,2014,4,0.89,1.69,0.49,0.46,1.62,9.44,42.84,55.41,36.12,134.37,6.59,0.04,0.12,0.03,0.22,0.00,0.08,3172663135327.00,632214924948,0.02,1.30,0.44,0.95,-6.88,2.86,17057153510400.00,343894224.00,10.45,2.16,0.52,14.82,1310.08,23005.47,6.17,FPT,2026-02-10,VCI,FPT
FPT,2014,3,0.70,1.44,0.44,0.45,2.55,14.33,28.36,33.04,20.55,81.95,11.05,0.04,0.12,0.03,0.22,0.00,0.09,2926429700958.00,570270811896,0.02,1.39,0.45,1.02,-11.59,2.61,16678869864000.00,343894224.00,10.10,2.19,0.36,38.17,1131.45,22183.66,6.09,FPT,2026-02-10,VCI,FPT
FPT,2014,2,0.53,1.17,0.44,0.45,2.62,14.33,28.26,31.37,18.48,78.11,11.64,0.06,0.15,0.04,0.22,0.00,0.09,3074429581827.00,640565150553,0.02,1.48,0.42,1.06,-13.57,2.34,17882499648000.00,343894224.00,11.22,2.36,0.40,22.27,1243.36,22064.39,6.32,FPT,2026-02-10,VCI,FPT
FPT,2014,1,0.61,1.15,0.42,0.44,2.62,14.56,28.31,30.97,17.56,76.85,11.78,0.05,0.12,0.03,0.22,0.00,0.10,3019047567588.00,544391214498,0.00,1.51,0.47,1.09,-15.33,2.30,17160321777600.00,343894224.00,10.65,2.27,0.39,-57.20,1051.25,22024.22,6.14,FPT,2026-02-10,VCI,FPT
FPT,2013,4,0.59,1.29,0.42,0.42,1.70,9.49,46.37,51.50,34.05,131.92,7.09,0.05,0.15,0.04,0.24,0.00,0.10,3091107119426.00,551867578632,0.02,1.42,0.46,1.06,-16.62,2.44,19395916219500.00,275119379.00,12.04,2.69,0.72,13.83,1722.92,26201.95,6.75,FPT,2026-02-10,VCI,FPT
FPT,2013,3,0.54,1.11,0.43,0.41,2.68,14.40,28.25,30.70,17.66,76.61,11.89,0.05,0.11,0.03,0.24,0.00,0.11,3058367629321.00,551562887781,0.03,1.53,0.48,1.14,-16.34,2.28,13755968950000.00,275119379.00,8.67,1.99,0.34,25.34,1201.62,25094.96,4.94,FPT,2026-02-10,VCI,FPT
FPT,2013,2,0.51,1.06,0.40,0.41,2.59,14.61,27.97,31.90,17.74,77.60,11.44,0.07,0.15,0.05,0.25,0.00,0.11,2980853142208.00,680662144290,0.03,1.57,0.49,1.15,-22.74,2.22,12380372055000.00,275119379.00,7.85,1.77,0.33,49.74,1616.70,25398.88,4.61,FPT,2026-02-10,VCI,FPT
FPT,2013,1,0.44,1.00,0.42,0.38,2.66,15.68,26.02,31.61,15.35,72.98,11.55,0.06,0.14,0.04,0.25,0.00,0.11,3099733991994.00,551979062724,0.00,1.58,0.44,1.10,-15.51,2.15,11857645234900.00,275119379.00,7.55,1.81,0.31,309.14,1302.43,23841.03,4.13,FPT,2026-02-10,VCI,FPT
FPT,2007,2,0.00,0.00,0.19,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.03,0.00,0.00,0.00,0.00,279540664391,0.00,0.00,0.00,0.00,-25.23,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FPT,2026-02-10,VCI,FPT
FPT,2007,1,0.00,0.00,0.19,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.03,0.00,0.00,0.00,0.00,165741410239,0.00,0.00,0.00,0.00,-17.25,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FPT,2026-02-10,VCI,FPT
VIC,2025,4,3.68,6.40,1.28,1.96,0.34,1.76,37.19,224.78,68.13,330.11,1.62,0.12,0.23,0.04,0.09,0.01,0.01,37933399000000.00,18926299000000,,1.12,0.12,0.77,-2.30,7.40,1019507904475200.00,7706031024.00,76.08,6.86,3.06,13.71,878.33,19288.27,33.89,VIC,2026-02-10,VCI,VIC
VIC,2025,3,3.25,5.72,1.14,2.09,0.25,1.26,49.45,264.73,80.45,394.62,1.38,-0.44,-0.19,0.02,0.06,-0.03,0.01,12687946000000.00,-17106224000000,,1.06,0.13,0.73,1.89,6.72,1234506170044800.00,7706031024.00,139.64,8.47,5.33,9.55,83.08,18908.57,118.26,VIC,2026-02-10,VCI,VIC
VIC,2025,2,2.74,5.04,1.16,2.05,0.30,1.39,44.16,234.54,74.33,353.02,1.56,-0.11,0.07,-0.02,0.10,0.02,0.02,31552104000000.00,-5138664000000,,1.03,0.15,0.77,0.67,6.04,816453986992800.00,3853015512.00,60.77,5.66,3.20,6.91,-244.20,37465.45,32.80,VIC,2026-02-10,VCI,VIC
VIC,2025,1,2.52,4.23,1.15,2.04,0.32,1.37,42.41,229.52,71.14,343.07,1.59,0.11,0.23,0.08,0.08,0.03,0.01,36311744000000.00,8954529000000,,0.84,0.08,0.59,-1.47,5.23,432073756393000.00,3823661561.00,40.04,2.99,1.72,14.69,1825.15,37771.64,18.19,VIC,2026-02-10,VCI,VIC
VIC,2024,4,2.30,4.44,1.19,1.99,0.25,1.10,57.11,258.47,90.15,405.74,1.41,-0.03,0.15,0.04,0.09,-0.02,0.02,16725716000000.00,-1610575000000,,0.78,0.09,0.56,0.23,5.44,269568140050500.00,3823661561.00,22.97,1.96,1.43,13.12,573.39,35933.31,28.93,VIC,2026-02-10,VCI,VIC
VIC,2024,3,1.99,3.82,1.14,2.12,0.21,0.87,62.89,308.89,92.89,464.67,1.18,0.07,0.21,0.08,0.07,-0.04,0.01,6603302000000.00,4404344000000,,0.90,0.06,0.63,-0.79,4.82,153711194752200.00,3823661561.00,16.31,1.14,1.00,-5.36,1384.78,35261.93,55.73,VIC,2026-02-10,VCI,VIC
VIC,2024,2,2.05,3.45,1.14,2.10,0.21,0.84,70.55,307.33,98.10,475.98,1.19,0.00,0.17,-0.08,0.03,-0.04,0.01,5229184000000.00,51491000000,,0.85,0.07,0.59,-0.01,4.45,161167334796150.00,3823661561.00,45.51,1.24,1.16,-7.46,-922.94,33888.12,74.06,VIC,2026-02-10,VCI,VIC
VIC,2024,1,2.11,3.40,1.11,2.04,0.22,0.92,72.38,285.27,101.05,458.69,1.28,-0.40,-0.09,0.36,0.07,-0.03,0.01,8318407000000.00,-8711786000000,,0.89,0.07,0.64,1.80,4.40,159637870171750.00,3823661561.00,18.10,1.22,1.11,-6.50,2075.10,34095.77,46.51,VIC,2026-02-10,VCI,VIC
VIC,2023,4,2.09,3.50,1.08,1.91,0.26,1.15,62.70,272.67,94.50,429.87,1.34,-0.40,-0.10,-0.01,0.02,-0.01,0.00,15137156000000.00,-10981546000000,,0.86,0.07,0.63,2.04,4.52,185256402630450.00,3823661561.00,86.91,1.63,1.15,-9.37,-41.52,29746.62,25.50,VIC,2026-02-10,VCI,VIC
VIC,2023,3,1.99,3.26,1.01,1.90,0.29,1.28,64.87,260.47,100.98,426.32,1.40,0.10,0.24,-0.01,0.03,0.03,0.01,28241534000000.00,4736018000000,,0.86,0.05,0.62,-0.86,4.26,164417447123000.00,3823661561.00,44.01,1.34,0.94,-15.92,-174.97,32158.34,12.93,VIC,2026-02-10,VCI,VIC
VIC,2023,2,1.93,3.35,1.04,1.78,0.27,1.21,72.88,288.41,105.89,467.18,1.27,0.09,0.23,0.04,0.05,0.02,0.01,25262335000000.00,4478560000000,,0.82,0.06,0.57,-1.40,4.35,177348003586500.00,3813935561.00,33.34,1.57,1.14,-5.58,478.28,29626.56,14.24,VIC,2026-02-10,VCI,VIC
VIC,2023,1,2.15,3.38,0.99,1.76,0.22,1.01,88.08,334.24,110.50,532.82,1.09,-0.03,0.11,0.03,0.06,-0.02,0.01,12648704000000.00,-1359167000000,,0.92,0.06,0.63,0.41,4.38,196036287835400.00,3813935561.00,28.55,1.76,1.60,-24.46,279.56,29172.92,30.23,VIC,2026-02-10,VCI,VIC
VIC,2022,4,2.12,3.26,0.91,1.75,0.20,0.81,87.37,328.04,117.73,533.13,1.11,0.10,0.31,0.04,0.06,-0.04,0.02,10653159000000.00,3951056000000,,0.95,0.10,0.62,-1.34,4.24,201757191176900.00,3813935561.00,23.30,1.83,1.98,-72.26,408.76,28865.93,35.13,VIC,2026-02-10,VCI,VIC
VIC,2022,3,2.06,3.05,0.84,1.77,0.19,0.78,96.31,304.87,195.75,596.92,1.20,0.00,0.20,0.03,0.01,-0.06,0.00,3111894000000.00,87341000000,,0.94,0.09,0.64,-0.03,4.05,209766455855000.00,3813935561.00,256.70,1.89,2.21,19.34,248.24,29041.66,122.85,VIC,2026-02-10,VCI,VIC
